Home,Away,Home_Goals,Away_Goals
Kawasaki Frontale,Albirex Niigata,1,0
Kobe,G-Osaka,1,5
Nagoya,Yokohama M.,1,1
Omiya Ardija,Tokushima,1,3
G-Osaka,Yokohama M.,2,0
FC Tokyo,Shimizu,4,0
Kashima,Hiroshima,5,1
Tokushima,Kofu,2,2
Albirex Niigata,C-Osaka,1,0
Kashiwa,Kawasaki Frontale,4,1
Sagan Tosu,Nagoya,1,0
Urawa,Kobe,2,2
Vegalta Sendai,Omiya Ardija,2,2
Shimizu,Tokushima,1,0
Kofu,Vegalta Sendai,0,0
C-Osaka,FC Tokyo,0,0
Kawasaki Frontale,Urawa,2,1
Kobe,Albirex Niigata,1,0
Nagoya,Kashima,2,3
Omiya Ardija,G-Osaka,0,2
Yokohama M.,Kashiwa,2,2
Hiroshima,Sagan Tosu,1,0
G-Osaka,Nagoya,0,1
Urawa,Hiroshima,1,0
Kashima,Kofu,1,0
Albirex Niigata,Omiya Ardija,2,1
Kashiwa,Kobe,2,0
Kawasaki Frontale,C-Osaka,5,4
Sagan Tosu,FC Tokyo,0,2
Tokushima,Yokohama M.,0,3
Vegalta Sendai,Shimizu,3,2
Shimizu,Kashima,1,3
FC Tokyo,Urawa,4,4
Kofu,G-Osaka,3,3
Albirex Niigata,Tokushima,1,2
Hiroshima,C-Osaka,0,0
Kobe,Vegalta Sendai,2,1
Nagoya,Kashiwa,1,1
Omiya Ardija,Sagan Tosu,1,3
Yokohama M.,Kawasaki Frontale,2,0
G-Osaka,Albirex Niigata,5,0
Urawa,Omiya Ardija,4,0
Tokushima,Hiroshima,0,1
C-Osaka,Kobe,1,2
Kashima,FC Tokyo,2,2
Kashiwa,Kofu,3,0
Nagoya,Kawasaki Frontale,1,1
Sagan Tosu,Shimizu,2,2
Vegalta Sendai,Yokohama M.,1,2
Shimizu,Urawa,1,4
Omiya Ardija,Kashima,2,1
FC Tokyo,Kobe,1,1
Kofu,Sagan Tosu,1,0
Albirex Niigata,Vegalta Sendai,1,0
C-Osaka,Kashiwa,2,0
Hiroshima,G-Osaka,0,1
Kawasaki Frontale,Tokushima,4,0
Yokohama M.,Nagoya,0,2
Nagoya,Kofu,2,0
G-Osaka,C-Osaka,2,0
Hiroshima,Albirex Niigata,2,0
Kashima,Yokohama M.,1,0
Kawasaki Frontale,FC Tokyo,0,0
Kobe,Shimizu,3,1
Sagan Tosu,Vegalta Sendai,2,1
Tokushima,Omiya Ardija,0,2
Urawa,Kashiwa,3,1
Shimizu,G-Osaka,0,3
Vegalta Sendai,Kashima,0,1
Albirex Niigata,Urawa,0,2
FC Tokyo,Tokushima,4,0
Yokohama M.,Hiroshima,1,0
Omiya Ardija,Kawasaki Frontale,1,3
Kofu,Kobe,2,0
C-Osaka,Nagoya,1,2
Kashiwa,Sagan Tosu,2,0
Yokohama M.,Kofu,0,0
Hiroshima,Kobe,1,1
FC Tokyo,Kashiwa,4,0
G-Osaka,Sagan Tosu,4,1
Omiya Ardija,Shimizu,2,1
C-Osaka,Urawa,1,0
Kawasaki Frontale,Vegalta Sendai,1,1
Tokushima,Kashima,0,5
Nagoya,Albirex Niigata,0,1
Kashima,G-Osaka,2,3
Shimizu,C-Osaka,3,0
Urawa,Tokushima,2,1
Kobe,Nagoya,1,3
Sagan Tosu,Yokohama M.,1,0
Kashiwa,Hiroshima,0,0
Vegalta Sendai,FC Tokyo,1,0
Kofu,Omiya Ardija,0,1
Albirex Niigata,Kawasaki Frontale,3,0
Tokushima,Kobe,2,2
G-Osaka,Kawasaki Frontale,1,0
Kashima,Kashiwa,2,3
Vegalta Sendai,Urawa,4,2
Albirex Niigata,Kofu,0,0
Yokohama M.,Shimizu,1,0
Hiroshima,Nagoya,4,0
Omiya Ardija,FC Tokyo,1,0
Sagan Tosu,C-Osaka,1,0
C-Osaka,Tokushima,3,1
FC Tokyo,Hiroshima,2,1
Kashiwa,G-Osaka,1,0
Kawasaki Frontale,Sagan Tosu,2,0
Kobe,Kashima,0,0
Nagoya,Vegalta Sendai,0,0
Omiya Ardija,Yokohama M.,2,3
Shimizu,Albirex Niigata,2,1
Urawa,Kofu,0,0
Vegalta Sendai,Kashiwa,1,2
Kobe,Omiya Ardija,2,1
Sagan Tosu,Albirex Niigata,0,2
G-Osaka,FC Tokyo,2,1
Kashima,Urawa,1,1
Kofu,Kawasaki Frontale,2,1
Shimizu,Hiroshima,1,3
Tokushima,Nagoya,0,2
Yokohama M.,C-Osaka,0,0
C-Osaka,Kofu,1,3
G-Osaka,Vegalta Sendai,1,1
Nagoya,FC Tokyo,2,2
Albirex Niigata,Kashima,1,2
Hiroshima,Omiya Ardija,1,1
Kashiwa,Tokushima,2,0
Kawasaki Frontale,Shimizu,2,3
Sagan Tosu,Kobe,2,1
Yokohama M.,Urawa,0,1
Kashima,Kawasaki Frontale,2,1
Kobe,Yokohama M.,1,2
Kofu,Hiroshima,2,0
Tokushima,Sagan Tosu,0,1
Urawa,G-Osaka,0,2
FC Tokyo,Albirex Niigata,1,3
Omiya Ardija,Kashiwa,1,2
Shimizu,Nagoya,2,2
Vegalta Sendai,C-Osaka,3,3
C-Osaka,Kashima,1,4
G-Osaka,Kobe,3,1
Kashiwa,Shimizu,3,1
Kawasaki Frontale,Hiroshima,1,1
Sagan Tosu,Urawa,1,1
Kofu,FC Tokyo,0,0
Nagoya,Omiya Ardija,2,1
Vegalta Sendai,Tokushima,2,1
Yokohama M.,Albirex Niigata,1,0
Albirex Niigata,Kashiwa,0,2
FC Tokyo,Yokohama M.,1,1
Hiroshima,Vegalta Sendai,2,0
Kashima,Sagan Tosu,0,1
Kobe,Kawasaki Frontale,1,2
Omiya Ardija,C-Osaka,2,0
Shimizu,Kofu,0,0
Tokushima,G-Osaka,0,0
Urawa,Nagoya,1,2
G-Osaka,FC Tokyo,2,2
Hiroshima,Kofu,2,0
Nagoya,Yamaga,3,3
Sagan Tosu,Albirex Niigata,2,1
Vegalta Sendai,Montedio Yamagata,2,0
Yokohama M.,Kawasaki Frontale,1,3
Kobe,Kashiwa,0,1
Shonan,Urawa,1,3
Shimizu,Kashima,3,1
Kashiwa,Vegalta Sendai,1,1
Albirex Niigata,Shimizu,0,0
FC Tokyo,Yokohama M.,0,0
Kashima,Shonan,1,2
Kofu,Nagoya,1,0
Kawasaki Frontale,Kobe,2,2
Urawa,Montedio Yamagata,1,0
Sagan Tosu,G-Osaka,1,0
Yamaga,Hiroshima,1,2
Albirex Niigata,Kashiwa,3,2
Hiroshima,Urawa,0,0
Kofu,G-Osaka,0,2
Shimizu,Yamaga,0,1
Yokohama M.,Sagan Tosu,1,0
Shonan,Vegalta Sendai,0,0
Kobe,FC Tokyo,0,2
Nagoya,Kashima,1,1
Montedio Yamagata,Kawasaki Frontale,1,0
G-Osaka,Nagoya,3,1
Kashima,Sagan Tosu,3,1
Vegalta Sendai,Shimizu,2,1
Montedio Yamagata,Shonan,1,2
Kawasaki Frontale,Albirex Niigata,4,1
Urawa,Yamaga,1,0
FC Tokyo,Kofu,1,0
Hiroshima,Kobe,0,1
Kashiwa,Yokohama M.,1,2
Yamaga,Kashiwa,1,3
Nagoya,Hiroshima,2,0
Yokohama M.,Vegalta Sendai,1,1
Shimizu,G-Osaka,2,3
Kobe,Kofu,4,1
Sagan Tosu,Montedio Yamagata,1,0
Shonan,FC Tokyo,0,1
Kawasaki Frontale,Urawa,1,1
Kashima,Albirex Niigata,1,1
Kashiwa,Kashima,1,3
Albirex Niigata,Kobe,2,2
Kofu,Sagan Tosu,0,3
Montedio Yamagata,Yamaga,0,0
Vegalta Sendai,Kawasaki Frontale,2,3
FC Tokyo,Hiroshima,1,2
Urawa,Yokohama M.,2,1
Shonan,G-Osaka,0,2
Nagoya,Shimizu,3,1
Hiroshima,Shimizu,2,0
Kashima,Kobe,1,2
Yamaga,Vegalta Sendai,1,0
Sagan Tosu,Kashiwa,1,1
Yokohama M.,Shonan,3,0
Urawa,Nagoya,2,1
Montedio Yamagata,FC Tokyo,0,1
Kawasaki Frontale,Kofu,3,0
G-Osaka,Albirex Niigata,2,1
Albirex Niigata,FC Tokyo,0,1
Kawasaki Frontale,Kashiwa,1,4
Shimizu,Montedio Yamagata,3,3
Vegalta Sendai,Kashima,1,2
G-Osaka,Yamaga,1,0
Kobe,Nagoya,0,1
Shonan,Sagan Tosu,4,2
Kofu,Urawa,0,2
Yokohama M.,Hiroshima,1,2
Nagoya,Shonan,3,0
Montedio Yamagata,Yokohama M.,1,0
Urawa,G-Osaka,1,0
Kashima,Kofu,0,1
FC Tokyo,Kawasaki Frontale,2,1
Hiroshima,Vegalta Sendai,2,0
Kashiwa,Shimizu,0,0
Yamaga,Albirex Niigata,1,2
Sagan Tosu,Kobe,1,1
Albirex Niigata,Montedio Yamagata,1,1
Shimizu,Sagan Tosu,2,2
Yamaga,Kofu,2,0
Kawasaki Frontale,Hiroshima,0,1
Yokohama M.,Nagoya,2,0
Shonan,Kobe,1,1
Vegalta Sendai,FC Tokyo,2,3
Nagoya,Kawasaki Frontale,0,1
Kofu,Shonan,0,1
Montedio Yamagata,Kashiwa,3,0
Yokohama M.,Albirex Niigata,1,0
Sagan Tosu,Yamaga,1,1
Vegalta Sendai,Urawa,4,4
FC Tokyo,Kashima,0,1
Kobe,Shimizu,1,2
Hiroshima,G-Osaka,0,1
Kashiwa,Shonan,0,0
Albirex Niigata,Vegalta Sendai,0,3
Kofu,Montedio Yamagata,2,0
Yamaga,Kobe,2,0
Kashima,Hiroshima,2,2
Shimizu,Yokohama M.,1,2
Urawa,FC Tokyo,4,1
G-Osaka,Kawasaki Frontale,1,1
Nagoya,Sagan Tosu,0,1
Montedio Yamagata,Kobe,0,1
Shonan,Shimizu,4,0
Vegalta Sendai,Kofu,0,1
FC Tokyo,Nagoya,0,1
Hiroshima,Albirex Niigata,4,2
Kawasaki Frontale,Sagan Tosu,3,2
Urawa,Kashima,2,1
Yamaga,Yokohama M.,0,3
Albirex Niigata,Kofu,0,2
Nagoya,Montedio Yamagata,0,0
Kobe,Vegalta Sendai,0,1
FC Tokyo,Kashiwa,2,1
Kashima,Yamaga,3,1
Sagan Tosu,Urawa,1,6
Shimizu,Kawasaki Frontale,5,2
Shonan,Hiroshima,0,0
Yokohama M.,G-Osaka,1,1
G-Osaka,Kashima,2,0
Kashiwa,Urawa,3,3
Albirex Niigata,Nagoya,1,1
G-Osaka,Kobe,0,0
Kashiwa,Hiroshima,2,3
Kawasaki Frontale,Shonan,2,1
Kofu,Yokohama M.,1,1
Montedio Yamagata,Kashima,2,2
Urawa,Shimizu,1,0
Vegalta Sendai,Sagan Tosu,5,0
Yamaga,FC Tokyo,1,2
G-Osaka,Vegalta Sendai,1,1
Hiroshima,Montedio Yamagata,5,1
Kawasaki Frontale,Yamaga,2,0
Kobe,Urawa,1,1
Nagoya,Kashiwa,1,0
Sagan Tosu,FC Tokyo,1,2
Shimizu,Kofu,0,2
Shonan,Albirex Niigata,1,3
Yokohama M.,Kashima,0,3
Kashiwa,G-Osaka,1,0
FC Tokyo,Shimizu,3,2
Kashima,Kawasaki Frontale,2,3
Kobe,Yokohama M.,1,1
Kofu,Kashiwa,1,1
Montedio Yamagata,G-Osaka,1,3
Sagan Tosu,Hiroshima,2,2
Urawa,Albirex Niigata,5,2
Vegalta Sendai,Nagoya,2,0
Yamaga,Shonan,2,3
Shonan,Nagoya,2,1
Vegalta Sendai,Hiroshima,3,4
Kawasaki Frontale,FC Tokyo,2,0
Albirex Niigata,Kashima,2,3
G-Osaka,Kofu,2,1
Kashiwa,Sagan Tosu,2,3
Shimizu,Kobe,0,5
Yamaga,Urawa,1,2
Yokohama M.,Montedio Yamagata,1,1
Sagan Tosu,Kawasaki Frontale,1,1
FC Tokyo,Albirex Niigata,3,1
Hiroshima,Yamaga,6,0
Kashima,Shimizu,0,0
Kobe,Shonan,1,1
Kofu,Vegalta Sendai,0,0
Montedio Yamagata,Urawa,0,0
Nagoya,G-Osaka,3,2
Yokohama M.,Kashiwa,0,1
Yamaga,Kashima,2,0
Shimizu,Nagoya,2,2
Albirex Niigata,Sagan Tosu,1,0
FC Tokyo,Montedio Yamagata,0,0
G-Osaka,Yokohama M.,2,2
Kashiwa,Kawasaki Frontale,1,0
Shonan,Kofu,0,2
Urawa,Hiroshima,1,2
Vegalta Sendai,Kobe,1,2
G-Osaka,Sagan Tosu,1,1
Kofu,Yamaga,0,1
Kashima,FC Tokyo,2,1
Hiroshima,Yokohama M.,2,0
Kawasaki Frontale,Shimizu,3,2
Kobe,G-Osaka,1,2
Nagoya,Urawa,2,1
Sagan Tosu,Shonan,1,1
Vegalta Sendai,Kashiwa,0,1
Montedio Yamagata,Albirex Niigata,1,3
Albirex Niigata,G-Osaka,2,2
FC Tokyo,Vegalta Sendai,3,1
Kobe,Hiroshima,0,4
Montedio Yamagata,Nagoya,0,3
Sagan Tosu,Kashima,0,3
Shonan,Kashiwa,3,0
Urawa,Kofu,1,1
Yamaga,Kawasaki Frontale,1,3
Yokohama M.,Shimizu,1,2
Albirex Niigata,Urawa,1,2
Hiroshima,Kashima,0,1
Kashiwa,Kobe,2,0
Kawasaki Frontale,Montedio Yamagata,0,0
Kofu,FC Tokyo,0,1
Nagoya,Yokohama M.,0,3
Shimizu,Shonan,1,2
Vegalta Sendai,Yamaga,3,1
FC Tokyo,G-Osaka,2,1
Kobe,Kawasaki Frontale,2,0
Montedio Yamagata,Sagan Tosu,1,3
Shimizu,Albirex Niigata,1,1
Urawa,Shonan,1,0
Yamaga,Nagoya,0,1
Yokohama M.,Kofu,2,0
Hiroshima,Kashiwa,0,3
Kashima,Vegalta Sendai,3,2
Kashiwa,Yamaga,2,0
Kofu,Kobe,1,0
Kashima,Montedio Yamagata,3,0
Urawa,Vegalta Sendai,3,1
Albirex Niigata,Hiroshima,0,2
G-Osaka,Shimizu,1,0
Nagoya,FC Tokyo,0,0
Sagan Tosu,Yokohama M.,1,2
Shonan,Kawasaki Frontale,2,1
Shimizu,FC Tokyo,1,1
Yokohama M.,Urawa,4,0
Hiroshima,Nagoya,5,2
Kawasaki Frontale,Kashima,1,3
Kobe,Sagan Tosu,7,1
Vegalta Sendai,Albirex Niigata,0,1
G-Osaka,Shonan,1,0
Kashiwa,Kofu,2,2
Urawa,Kashiwa,1,0
Kashima,G-Osaka,1,2
Kofu,Kawasaki Frontale,1,3
Nagoya,Vegalta Sendai,0,1
Albirex Niigata,Yokohama M.,1,1
FC Tokyo,Kobe,3,0
Montedio Yamagata,Hiroshima,1,3
Sagan Tosu,Shimizu,0,0
Shonan,Yamaga,1,1
Kofu,Kashima,0,1
Vegalta Sendai,Shonan,1,1
Hiroshima,Sagan Tosu,0,0
Kawasaki Frontale,Nagoya,6,1
Kobe,Albirex Niigata,1,2
Shimizu,Urawa,1,4
Yokohama M.,FC Tokyo,1,0
Yamaga,G-Osaka,1,1
Kashiwa,Montedio Yamagata,0,0
Yamaga,Montedio Yamagata,2,2
Montedio Yamagata,Vegalta Sendai,1,1
Kashima,Urawa,1,2
Sagan Tosu,Kofu,0,1
Shimizu,Hiroshima,1,5
Shonan,Yokohama M.,1,1
G-Osaka,Kashiwa,3,1
FC Tokyo,Yamaga,1,0
Albirex Niigata,Kawasaki Frontale,1,2
Nagoya,Kobe,2,0
Vegalta Sendai,Yokohama M.,1,3
Kobe,Kashima,0,2
Yamaga,Shimizu,1,0
Shonan,Montedio Yamagata,0,1
Urawa,Sagan Tosu,1,1
Kofu,Albirex Niigata,0,0
Hiroshima,FC Tokyo,0,1
Kashiwa,Nagoya,3,1
Kawasaki Frontale,G-Osaka,5,3
FC Tokyo,Shonan,1,2
G-Osaka,Urawa,2,1
Hiroshima,Kawasaki Frontale,2,1
Kashima,Kashiwa,3,2
Shimizu,Vegalta Sendai,0,1
Yokohama M.,Kobe,2,1
Albirex Niigata,Yamaga,2,0
Sagan Tosu,Nagoya,0,0
Montedio Yamagata,Kofu,0,1
FC Tokyo,Urawa,3,4
Kawasaki Frontale,Yokohama M.,0,1
Kobe,Montedio Yamagata,3,1
Kofu,Hiroshima,0,2
Nagoya,Albirex Niigata,4,2
Shimizu,Kashiwa,0,3
Shonan,Kashima,2,1
Yamaga,Sagan Tosu,1,2
Vegalta Sendai,G-Osaka,1,3
Albirex Niigata,Shonan,0,2
G-Osaka,Hiroshima,0,2
Kashima,Yokohama M.,2,0
Kashiwa,FC Tokyo,0,1
Kobe,Yamaga,2,1
Montedio Yamagata,Shimizu,1,2
Nagoya,Kofu,4,2
Sagan Tosu,Vegalta Sendai,1,0
Urawa,Kawasaki Frontale,1,1
FC Tokyo,Sagan Tosu,0,0
G-Osaka,Montedio Yamagata,4,0
Hiroshima,Shonan,5,0
Kashima,Nagoya,1,0
Kashiwa,Albirex Niigata,1,1
Kawasaki Frontale,Vegalta Sendai,1,0
Kofu,Shimizu,2,2
Urawa,Kobe,5,2
Yokohama M.,Yamaga,0,0
Urawa,G-Osaka,1,1
G-Osaka,Hiroshima,2,3
Hiroshima,G-Osaka,1,1
Hiroshima,Kawasaki Frontale,0,1
Iwata,Nagoya,0,1
Sagan Tosu,Avispa Fukuoka,2,1
Kashiwa,Urawa,1,2
Kobe,Kofu,0,2
Shonan,Albirex Niigata,1,2
Yokohama M.,Vegalta Sendai,0,1
FC Tokyo,Omiya Ardija,0,1
G-Osaka,Kashima,0,1
Kashima,Sagan Tosu,1,0
Kawasaki Frontale,Shonan,4,4
Omiya Ardija,Kashiwa,2,0
Kobe,Albirex Niigata,6,3
Avispa Fukuoka,Yokohama M.,1,1
Kofu,G-Osaka,0,1
Urawa,Iwata,1,2
Nagoya,Hiroshima,1,1
Vegalta Sendai,FC Tokyo,1,2
FC Tokyo,Kobe,1,0
G-Osaka,Omiya Ardija,2,1
Hiroshima,Shonan,2,2
Urawa,Avispa Fukuoka,2,0
Vegalta Sendai,Kashima,1,0
Albirex Niigata,Yokohama M.,1,2
Sagan Tosu,Kofu,1,1
Kashiwa,Iwata,2,2
Kawasaki Frontale,Nagoya,3,2
Yokohama M.,Sagan Tosu,2,1
Albirex Niigata,Kashiwa,2,2
Kofu,Kawasaki Frontale,0,4
Nagoya,Vegalta Sendai,2,1
Kashima,FC Tokyo,2,0
Kobe,G-Osaka,2,1
Iwata,Avispa Fukuoka,2,2
Omiya Ardija,Hiroshima,1,5
Shonan,Urawa,0,2
Hiroshima,Vegalta Sendai,3,0
Urawa,Kofu,2,1
Avispa Fukuoka,Albirex Niigata,0,1
Kawasaki Frontale,Kashima,1,1
Sagan Tosu,Kashiwa,1,1
FC Tokyo,Nagoya,3,2
Omiya Ardija,Iwata,1,1
Shonan,Kobe,1,2
G-Osaka,Yokohama M.,1,2
Kobe,Avispa Fukuoka,0,0
Nagoya,Omiya Ardija,1,2
Yokohama M.,Urawa,0,0
Kofu,Shonan,3,1
Vegalta Sendai,G-Osaka,1,3
Kawasaki Frontale,Sagan Tosu,1,0
Albirex Niigata,Iwata,1,2
Kashima,Hiroshima,4,1
Kashiwa,FC Tokyo,1,0
G-Osaka,Kashiwa,0,1
Hiroshima,Albirex Niigata,1,0
Urawa,Vegalta Sendai,3,1
FC Tokyo,Kawasaki Frontale,2,4
Omiya Ardija,Kofu,1,1
Shonan,Kashima,0,3
Iwata,Yokohama M.,1,5
Avispa Fukuoka,G-Osaka,0,1
Kobe,Vegalta Sendai,2,2
Nagoya,Albirex Niigata,2,1
Kofu,FC Tokyo,1,1
Yokohama M.,Hiroshima,1,2
Kashima,Kashiwa,0,2
Kawasaki Frontale,Urawa,0,1
Sagan Tosu,Iwata,0,1
Shonan,Omiya Ardija,0,1
G-Osaka,Kawasaki Frontale,0,1
Iwata,Hiroshima,1,0
Urawa,Nagoya,4,1
FC Tokyo,Avispa Fukuoka,0,1
Vegalta Sendai,Sagan Tosu,0,2
Kashiwa,Kobe,2,0
Omiya Ardija,Kashima,0,0
Albirex Niigata,Kofu,2,2
Yokohama M.,Shonan,0,1
Sagan Tosu,Shonan,0,1
Avispa Fukuoka,Omiya Ardija,1,2
Kawasaki Frontale,Vegalta Sendai,1,1
Nagoya,Yokohama M.,3,1
Kashima,Albirex Niigata,2,1
Kobe,Iwata,4,1
Kofu,Kashiwa,0,2
Kashiwa,Kawasaki Frontale,1,3
Nagoya,Kobe,0,1
Yokohama M.,Kofu,2,2
Vegalta Sendai,Avispa Fukuoka,2,0
Albirex Niigata,G-Osaka,0,0
Hiroshima,Sagan Tosu,3,0
Omiya Ardija,Urawa,0,1
Shonan,FC Tokyo,0,1
Iwata,Kashima,1,1
FC Tokyo,Sagan Tosu,0,0
G-Osaka,Iwata,2,1
Hiroshima,Kashiwa,0,0
Avispa Fukuoka,Shonan,1,0
Urawa,Albirex Niigata,0,0
Vegalta Sendai,Omiya Ardija,0,1
Kawasaki Frontale,Kobe,3,1
Kofu,Nagoya,2,2
Kashima,Yokohama M.,1,0
Iwata,Kofu,3,1
Kashiwa,Avispa Fukuoka,3,2
Sagan Tosu,Omiya Ardija,0,1
Hiroshima,G-Osaka,1,3
Kobe,Yokohama M.,0,1
Shonan,Vegalta Sendai,0,1
Nagoya,Kashima,2,3
Albirex Niigata,Kawasaki Frontale,0,0
Yokohama M.,Kashiwa,3,0
Avispa Fukuoka,Hiroshima,0,4
Vegalta Sendai,Albirex Niigata,4,2
Kashima,Kofu,4,0
Omiya Ardija,Kobe,2,2
Sagan Tosu,Urawa,0,0
FC Tokyo,G-Osaka,1,0
Shonan,Nagoya,2,1
Kawasaki Frontale,Iwata,1,0
Avispa Fukuoka,Nagoya,0,0
Sagan Tosu,Kobe,0,0
Albirex Niigata,Omiya Ardija,1,0
G-Osaka,Shonan,3,3
Iwata,FC Tokyo,0,0
Yokohama M.,Kawasaki Frontale,0,2
Kofu,Avispa Fukuoka,1,0
Kobe,Hiroshima,1,1
Kashiwa,Vegalta Sendai,0,2
Nagoya,Sagan Tosu,0,1
Urawa,Kashima,0,2
FC Tokyo,Hiroshima,1,1
G-Osaka,Urawa,1,0
Avispa Fukuoka,Kawasaki Frontale,2,2
FC Tokyo,Albirex Niigata,1,1
Hiroshima,Urawa,4,2
Kobe,Kashima,1,2
Nagoya,Kashiwa,1,1
Omiya Ardija,Yokohama M.,1,1
Sagan Tosu,G-Osaka,2,1
Shonan,Iwata,1,0
Vegalta Sendai,Kofu,2,1
Urawa,FC Tokyo,3,2
Albirex Niigata,Sagan Tosu,1,0
G-Osaka,Nagoya,3,3
Iwata,Vegalta Sendai,3,0
Kashima,Avispa Fukuoka,2,0
Kashiwa,Shonan,1,1
Kawasaki Frontale,Omiya Ardija,2,0
Kofu,Hiroshima,0,3
Urawa,Kobe,3,1
Yokohama M.,FC Tokyo,0,1
Kofu,Kobe,0,3
Kashima,G-Osaka,1,3
Avispa Fukuoka,Urawa,1,2
Hiroshima,Iwata,3,0
Kashiwa,Albirex Niigata,1,0
Omiya Ardija,Nagoya,1,0
Sagan Tosu,FC Tokyo,3,2
Shonan,Yokohama M.,0,3
Vegalta Sendai,Kawasaki Frontale,0,3
Nagoya,Kawasaki Frontale,0,3
G-Osaka,Vegalta Sendai,3,1
Albirex Niigata,Shonan,0,1
FC Tokyo,Kofu,1,0
Hiroshima,Kashima,2,4
Iwata,Omiya Ardija,1,1
Kobe,Sagan Tosu,2,2
Urawa,Kashiwa,2,0
Yokohama M.,Avispa Fukuoka,3,0
Avispa Fukuoka,FC Tokyo,2,1
Kashima,Nagoya,3,0
Kashiwa,Hiroshima,3,3
Kawasaki Frontale,Albirex Niigata,3,2
Kofu,Iwata,0,0
Omiya Ardija,G-Osaka,0,0
Shonan,Sagan Tosu,0,2
Vegalta Sendai,Urawa,0,1
Yokohama M.,Kobe,3,2
Kobe,Shonan,2,0
Kofu,Kashima,3,3
Iwata,Kawasaki Frontale,1,1
Albirex Niigata,Vegalta Sendai,1,2
FC Tokyo,Kashiwa,0,1
G-Osaka,Avispa Fukuoka,0,0
Hiroshima,Yokohama M.,2,2
Sagan Tosu,Nagoya,0,0
Urawa,Omiya Ardija,2,2
Nagoya,Kofu,1,3
Kashima,Urawa,1,2
Kawasaki Frontale,FC Tokyo,1,0
Avispa Fukuoka,Sagan Tosu,2,3
Hiroshima,Kobe,2,0
Kashiwa,G-Osaka,3,2
Omiya Ardija,Albirex Niigata,1,2
Vegalta Sendai,Shonan,1,0
Yokohama M.,Iwata,1,1
Kofu,Urawa,0,2
Avispa Fukuoka,Vegalta Sendai,1,1
Albirex Niigata,FC Tokyo,0,1
G-Osaka,Hiroshima,1,0
Iwata,Kashiwa,1,2
Kobe,Omiya Ardija,1,0
Sagan Tosu,Kashima,1,0
Shonan,Kawasaki Frontale,2,3
Yokohama M.,Nagoya,0,0
Kashima,Vegalta Sendai,0,1
Urawa,Shonan,4,1
Albirex Niigata,Kobe,1,0
FC Tokyo,Iwata,3,2
G-Osaka,Sagan Tosu,2,1
Hiroshima,Nagoya,2,0
Kashiwa,Yokohama M.,1,2
Kawasaki Frontale,Kofu,4,0
Omiya Ardija,Avispa Fukuoka,1,0
Kofu,Albirex Niigata,1,0
Nagoya,Urawa,0,2
Shonan,Hiroshima,1,2
Iwata,G-Osaka,0,2
Kobe,FC Tokyo,4,1
Sagan Tosu,Kawasaki Frontale,1,0
Vegalta Sendai,Kashiwa,4,2
Yokohama M.,Omiya Ardija,1,1
Avispa Fukuoka,Kashima,1,2
Kashima,Shonan,1,0
Omiya Ardija,Vegalta Sendai,2,1
Albirex Niigata,Avispa Fukuoka,3,0
FC Tokyo,Yokohama M.,1,0
G-Osaka,Kobe,0,1
Hiroshima,Kofu,0,1
Iwata,Sagan Tosu,1,1
Kashiwa,Nagoya,3,1
Urawa,Kawasaki Frontale,1,2
Avispa Fukuoka,Iwata,2,3
Kofu,Omiya Ardija,2,2
Nagoya,FC Tokyo,1,1
Shonan,G-Osaka,1,2
Kawasaki Frontale,Kashiwa,2,5
Kobe,Urawa,2,1
Sagan Tosu,Albirex Niigata,1,0
Vegalta Sendai,Hiroshima,0,2
Yokohama M.,Kashima,2,2
Iwata,Kobe,3,4
Vegalta Sendai,Yokohama M.,0,1
Albirex Niigata,Nagoya,0,1
FC Tokyo,Shonan,3,0
G-Osaka,Kofu,2,1
Hiroshima,Omiya Ardija,0,1
Kashiwa,Kashima,2,0
Kawasaki Frontale,Avispa Fukuoka,3,1
Urawa,Sagan Tosu,2,0
Yokohama M.,Albirex Niigata,3,1
Kofu,Vegalta Sendai,1,1
Omiya Ardija,Kawasaki Frontale,3,2
Kashima,Iwata,3,0
FC Tokyo,Urawa,1,3
Kobe,Kashiwa,1,1
Sagan Tosu,Hiroshima,2,3
Shonan,Avispa Fukuoka,0,2
Nagoya,G-Osaka,1,3
Avispa Fukuoka,Kobe,1,4
Vegalta Sendai,Nagoya,1,2
Iwata,Shonan,0,0
Urawa,Hiroshima,3,0
G-Osaka,FC Tokyo,3,3
Albirex Niigata,Kashima,0,2
Omiya Ardija,Sagan Tosu,1,1
Kashiwa,Kofu,1,0
Kawasaki Frontale,Yokohama M.,3,2
Kashima,Omiya Ardija,1,3
Nagoya,Avispa Fukuoka,5,0
Urawa,G-Osaka,4,0
Iwata,Albirex Niigata,1,2
Kofu,Yokohama M.,0,4
Sagan Tosu,Vegalta Sendai,2,3
Hiroshima,FC Tokyo,0,1
Kobe,Kawasaki Frontale,3,0
Shonan,Kashiwa,0,0
Albirex Niigata,Urawa,1,2
Avispa Fukuoka,Kofu,1,2
FC Tokyo,Kashima,2,1
Kashiwa,Sagan Tosu,2,3
Kawasaki Frontale,Hiroshima,2,0
Nagoya,Iwata,1,1
Omiya Ardija,Shonan,3,2
Vegalta Sendai,Kobe,3,0
Yokohama M.,G-Osaka,2,2
FC Tokyo,Vegalta Sendai,1,0
G-Osaka,Albirex Niigata,3,1
